Participant,Moment,TimeBin_x,Stroop_RT_mean,TimeBin_y,NapGroup_x,Impulsivity,TimeBin,NapGroup_y,Perseverance,NapGroup
02_IS,post_nap,0-5,0.6216042930004644,0-5,Nap,0.0,0-5,Nap,0.25,Nap
02_IS,post_nap,0-5,0.6216042930004644,0-5,Nap,0.0,5-10,Nap,0.375,Nap
02_IS,post_nap,0-5,0.6216042930004644,0-5,Nap,0.0,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,0-5,0.6216042930004644,0-5,Nap,0.0,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,0-5,0.6216042930004644,5-10,Nap,0.16666666666666666,0-5,Nap,0.25,Nap
02_IS,post_nap,0-5,0.6216042930004644,5-10,Nap,0.16666666666666666,5-10,Nap,0.375,Nap
02_IS,post_nap,0-5,0.6216042930004644,5-10,Nap,0.16666666666666666,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,0-5,0.6216042930004644,5-10,Nap,0.16666666666666666,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,0-5,0.6216042930004644,10-15,Nap,0.05,0-5,Nap,0.25,Nap
02_IS,post_nap,0-5,0.6216042930004644,10-15,Nap,0.05,5-10,Nap,0.375,Nap
02_IS,post_nap,0-5,0.6216042930004644,10-15,Nap,0.05,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,0-5,0.6216042930004644,10-15,Nap,0.05,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,0-5,0.6216042930004644,15-20,Nap,0.041666666666666664,0-5,Nap,0.25,Nap
02_IS,post_nap,0-5,0.6216042930004644,15-20,Nap,0.041666666666666664,5-10,Nap,0.375,Nap
02_IS,post_nap,0-5,0.6216042930004644,15-20,Nap,0.041666666666666664,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,0-5,0.6216042930004644,15-20,Nap,0.041666666666666664,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,5-10,0.7046075067600283,0-5,Nap,0.0,0-5,Nap,0.25,Nap
02_IS,post_nap,5-10,0.7046075067600283,0-5,Nap,0.0,5-10,Nap,0.375,Nap
02_IS,post_nap,5-10,0.7046075067600283,0-5,Nap,0.0,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,5-10,0.7046075067600283,0-5,Nap,0.0,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,5-10,0.7046075067600283,5-10,Nap,0.16666666666666666,0-5,Nap,0.25,Nap
02_IS,post_nap,5-10,0.7046075067600283,5-10,Nap,0.16666666666666666,5-10,Nap,0.375,Nap
02_IS,post_nap,5-10,0.7046075067600283,5-10,Nap,0.16666666666666666,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,5-10,0.7046075067600283,5-10,Nap,0.16666666666666666,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,5-10,0.7046075067600283,10-15,Nap,0.05,0-5,Nap,0.25,Nap
02_IS,post_nap,5-10,0.7046075067600283,10-15,Nap,0.05,5-10,Nap,0.375,Nap
02_IS,post_nap,5-10,0.7046075067600283,10-15,Nap,0.05,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,5-10,0.7046075067600283,10-15,Nap,0.05,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,5-10,0.7046075067600283,15-20,Nap,0.041666666666666664,0-5,Nap,0.25,Nap
02_IS,post_nap,5-10,0.7046075067600283,15-20,Nap,0.041666666666666664,5-10,Nap,0.375,Nap
02_IS,post_nap,5-10,0.7046075067600283,15-20,Nap,0.041666666666666664,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,5-10,0.7046075067600283,15-20,Nap,0.041666666666666664,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,10-15,0.6307819961796145,0-5,Nap,0.0,0-5,Nap,0.25,Nap
02_IS,post_nap,10-15,0.6307819961796145,0-5,Nap,0.0,5-10,Nap,0.375,Nap
02_IS,post_nap,10-15,0.6307819961796145,0-5,Nap,0.0,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,10-15,0.6307819961796145,0-5,Nap,0.0,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,10-15,0.6307819961796145,5-10,Nap,0.16666666666666666,0-5,Nap,0.25,Nap
02_IS,post_nap,10-15,0.6307819961796145,5-10,Nap,0.16666666666666666,5-10,Nap,0.375,Nap
02_IS,post_nap,10-15,0.6307819961796145,5-10,Nap,0.16666666666666666,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,10-15,0.6307819961796145,5-10,Nap,0.16666666666666666,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,10-15,0.6307819961796145,10-15,Nap,0.05,0-5,Nap,0.25,Nap
02_IS,post_nap,10-15,0.6307819961796145,10-15,Nap,0.05,5-10,Nap,0.375,Nap
02_IS,post_nap,10-15,0.6307819961796145,10-15,Nap,0.05,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,10-15,0.6307819961796145,10-15,Nap,0.05,15-20,Nap,0.3181818181818182,Nap
02_IS,post_nap,10-15,0.6307819961796145,15-20,Nap,0.041666666666666664,0-5,Nap,0.25,Nap
02_IS,post_nap,10-15,0.6307819961796145,15-20,Nap,0.041666666666666664,5-10,Nap,0.375,Nap
02_IS,post_nap,10-15,0.6307819961796145,15-20,Nap,0.041666666666666664,10-15,Nap,0.3225806451612903,Nap
02_IS,post_nap,10-15,0.6307819961796145,15-20,Nap,0.041666666666666664,15-20,Nap,0.3181818181818182,Nap
